epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6665.3,1.05454,0.81736,1.49034,0.78126,0.71893,0.79873,0.49977,1.47577,1.05137,1.90926,0.00701588,0.00701588,0.00701588
76,6750.66,1.04086,0.79545,1.47441,0.78746,0.70702,0.79882,0.51042,1.45661,1.04725,1.89286,0.00694428,0.00694428,0.00694428
77,6836.01,1.04385,0.79916,1.4752,0.75878,0.73455,0.798,0.50583,1.46569,1.03445,1.90411,0.00687222,0.00687222,0.00687222
78,6921.2,1.02765,0.77612,1.46081,0.76057,0.74539,0.80992,0.5142,1.46029,1.0277,1.91588,0.0067997,0.0067997,0.0067997
79,7009.27,1.03139,0.78412,1.46736,0.77928,0.73042,0.80064,0.50599,1.4609,1.01476,1.90178,0.00672675,0.00672675,0.00672675
80,7094.59,1.02068,0.78037,1.45535,0.80373,0.72302,0.80646,0.50988,1.46365,1.01621,1.90553,0.00665339,0.00665339,0.00665339
81,7188.85,1.00553,0.76913,1.44618,0.77058,0.74352,0.80483,0.51245,1.45294,1.01281,1.89684,0.00657963,0.00657963,0.00657963
82,7274.06,1.00926,0.77022,1.44603,0.79303,0.74437,0.81284,0.52329,1.44027,0.99718,1.88898,0.0065055,0.0065055,0.0065055
83,7365.38,1.00356,0.75251,1.43634,0.7906,0.74742,0.81319,0.51793,1.44764,0.99904,1.89743,0.00643101,0.00643101,0.00643101
84,7450.61,0.98818,0.75146,1.42663,0.7624,0.75314,0.80923,0.5157,1.45024,1.00425,1.90344,0.00635617,0.00635617,0.00635617
85,7542.2,0.97882,0.74442,1.41846,0.82675,0.72663,0.82297,0.52536,1.45514,0.99592,1.90688,0.00628101,0.00628101,0.00628101
86,7633.78,0.9683,0.72846,1.41029,0.80177,0.73768,0.81599,0.52113,1.43877,0.9921,1.89886,0.00620555,0.00620555,0.00620555
87,7719.1,0.95721,0.71778,1.40088,0.81687,0.72265,0.81558,0.52446,1.44387,0.97524,1.90409,0.00612981,0.00612981,0.00612981
88,7807.13,0.96296,0.71956,1.40298,0.77641,0.76119,0.8108,0.5209,1.43969,0.98707,1.89253,0.0060538,0.0060538,0.0060538
89,7895.11,0.94922,0.70967,1.39774,0.78216,0.75624,0.81478,0.52566,1.43501,0.97855,1.90087,0.00597754,0.00597754,0.00597754
90,7980.36,0.95703,0.71077,1.39755,0.80325,0.74264,0.81926,0.53384,1.4319,0.97083,1.88912,0.00590105,0.00590105,0.00590105
91,8068.6,0.93733,0.70071,1.38241,0.78186,0.75776,0.8221,0.53375,1.43933,0.97372,1.90186,0.00582435,0.00582435,0.00582435
92,8159.97,0.92743,0.68513,1.3728,0.78242,0.76542,0.82252,0.53167,1.44498,0.97608,1.9072,0.00574746,0.00574746,0.00574746
93,8241.93,0.93041,0.67945,1.37156,0.78751,0.76063,0.82811,0.53607,1.42457,0.96021,1.88576,0.0056704,0.0056704,0.0056704
94,8333.27,0.9223,0.69118,1.36974,0.80308,0.73865,0.82733,0.53627,1.43004,0.96232,1.88187,0.00559318,0.00559318,0.00559318
95,8418.66,0.90426,0.66422,1.35604,0.83103,0.74485,0.83499,0.54312,1.41761,0.93604,1.89353,0.00551584,0.00551584,0.00551584
96,8513.17,0.91684,0.68897,1.36558,0.80956,0.76019,0.82722,0.53946,1.41457,0.94258,1.87293,0.00543837,0.00543837,0.00543837
97,8604.63,0.89981,0.6663,1.34515,0.82697,0.7478,0.83413,0.542,1.41742,0.93679,1.89343,0.00536081,0.00536081,0.00536081
98,8677.63,0.89805,0.66279,1.34692,0.8192,0.7619,0.84032,0.53866,1.42853,0.93442,1.90071,0.00528318,0.00528318,0.00528318
99,8762.9,0.88678,0.65136,1.33808,0.83365,0.75814,0.83889,0.54367,1.42647,0.93373,1.90607,0.00520548,0.00520548,0.00520548
100,8848.31,0.88403,0.65603,1.33674,0.82795,0.75396,0.83893,0.54903,1.42144,0.93853,1.88842,0.00512775,0.00512775,0.00512775
101,8955.12,0.82846,0.55899,1.28755,0.81048,0.77364,0.84171,0.54779,1.41588,0.92864,1.89202,0.00505,0.00505,0.00505
102,9040.34,0.81144,0.5509,1.27612,0.82742,0.75962,0.83584,0.54553,1.41198,0.92079,1.89586,0.00497225,0.00497225,0.00497225
103,9134.38,0.79665,0.54424,1.26294,0.81728,0.7741,0.84005,0.54497,1.41173,0.91954,1.88773,0.00489452,0.00489452,0.00489452
104,9219.55,0.79841,0.54131,1.26172,0.81824,0.76816,0.83855,0.54585,1.41662,0.93309,1.90074,0.00481682,0.00481682,0.00481682
105,9304.98,0.79105,0.5312,1.26073,0.83043,0.76985,0.84747,0.55267,1.40857,0.9195,1.89991,0.00473919,0.00473919,0.00473919
106,9396.56,0.78851,0.54258,1.25577,0.83984,0.7636,0.84322,0.5545,1.40149,0.9156,1.8861,0.00466163,0.00466163,0.00466163
107,9481.84,0.77875,0.51718,1.24855,0.83097,0.77418,0.84349,0.55587,1.40605,0.91356,1.89139,0.00458416,0.00458416,0.00458416
108,9567.02,0.76321,0.50857,1.23374,0.83848,0.76097,0.84167,0.55697,1.39994,0.91187,1.89693,0.00450682,0.00450682,0.00450682
109,9646.23,0.7554,0.50451,1.22311,0.86325,0.75209,0.84504,0.56125,1.39571,0.9078,1.89067,0.0044296,0.0044296,0.0044296
110,9737.81,0.75578,0.50128,1.2211,0.86325,0.76987,0.85073,0.5614,1.39129,0.90122,1.88987,0.00435254,0.00435254,0.00435254
111,9823.26,0.75998,0.49939,1.22995,0.85412,0.76013,0.85153,0.56199,1.39433,0.89679,1.88994,0.00427565,0.00427565,0.00427565
112,9917.37,0.74521,0.50069,1.22105,0.85606,0.7525,0.85308,0.55707,1.39303,0.89908,1.89471,0.00419895,0.00419895,0.00419895
113,10008.7,0.74726,0.49254,1.22314,0.83623,0.77879,0.85243,0.56486,1.38608,0.90029,1.88718,0.00412246,0.00412246,0.00412246
114,10093.9,0.7453,0.49023,1.21423,0.85167,0.77009,0.85331,0.56575,1.38087,0.88949,1.88575,0.0040462,0.0040462,0.0040462
115,10179.3,0.72438,0.47708,1.19587,0.86563,0.76728,0.85619,0.56501,1.38497,0.88683,1.88574,0.00397019,0.00397019,0.00397019
