epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,3835.27,0.75917,0.50113,1.20071,0.83806,0.77372,0.85132,0.56641,1.39378,0.90203,1.86101,0.00435254,0.00435254,0.00435254
111,3870.02,0.76196,0.49788,1.20822,0.82383,0.76839,0.83965,0.55534,1.39925,0.91789,1.85797,0.00427565,0.00427565,0.00427565
112,3904.51,0.74593,0.49718,1.19987,0.82923,0.77105,0.84472,0.55667,1.40095,0.91646,1.86567,0.00419895,0.00419895,0.00419895
113,3939.21,0.75278,0.49234,1.20341,0.83635,0.75619,0.84469,0.55863,1.39784,0.90843,1.85965,0.00412246,0.00412246,0.00412246
114,3973.98,0.7457,0.48447,1.19098,0.83517,0.77873,0.85181,0.56468,1.39324,0.90204,1.85803,0.0040462,0.0040462,0.0040462
115,4008.77,0.72685,0.47322,1.17448,0.83094,0.77832,0.85153,0.56423,1.3879,0.90068,1.85205,0.00397019,0.00397019,0.00397019
116,4043.45,0.73497,0.48389,1.18347,0.8389,0.76042,0.84981,0.56051,1.38663,0.91126,1.85339,0.00389445,0.00389445,0.00389445
117,4078.14,0.7388,0.47855,1.19023,0.8368,0.77748,0.85435,0.56275,1.38841,0.88555,1.84877,0.00381899,0.00381899,0.00381899
118,4112.83,0.71599,0.46926,1.17085,0.84607,0.7808,0.85728,0.56513,1.38193,0.88548,1.84088,0.00374383,0.00374383,0.00374383
119,4147.55,0.71841,0.47205,1.1762,0.83342,0.77064,0.85649,0.57092,1.37595,0.88258,1.83825,0.00366899,0.00366899,0.00366899
120,4182.28,0.70283,0.46155,1.16267,0.86571,0.74459,0.85532,0.56846,1.37764,0.88258,1.84516,0.0035945,0.0035945,0.0035945
